CLASSES             PROBABILITIES
[u'B', u'H', u'S']  [0.07357721775770187, 0.050977673381567, 0.8754451274871826]
[u'B', u'H', u'S']  [0.427848219871521, 0.37487974762916565, 0.19727200269699097]
[u'B', u'H', u'S']  [0.49524736404418945, 0.41599905490875244, 0.08875353634357452]
[u'B', u'H', u'S']  [0.5477948784828186, 0.433663010597229, 0.01854201965034008]
[u'B', u'H', u'S']  [0.6032861471176147, 0.3936344385147095, 0.003079403890296817]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.6016976833343506, 0.39511099457740784, 0.0031912887934595346]
[u'B', u'H', u'S']  [0.5331960320472717, 0.45335879921913147, 0.013445169664919376]
[u'B', u'H', u'S']  [0.4991261661052704, 0.4755595028400421, 0.02531425841152668]
[u'B', u'H', u'S']  [0.339621901512146, 0.3998376727104187, 0.2605403959751129]
[u'B', u'H', u'S']  [0.21883611381053925, 0.2325482815504074, 0.5486156344413757]
[u'B', u'H', u'S']  [0.20648042857646942, 0.21420681476593018, 0.5793127417564392]
[u'B', u'H', u'S']  [0.48510923981666565, 0.4754650890827179, 0.039425574243068695]
[u'B', u'H', u'S']  [0.5999699831008911, 0.3967147767543793, 0.0033152925316244364]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.6033852100372314, 0.3935432434082031, 0.003071598010137677]
[u'B', u'H', u'S']  [0.4000590145587921, 0.4460325241088867, 0.15390844643115997]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.21033376455307007, 0.21981748938560486, 0.5698487162590027]
[u'B', u'H', u'S']  [0.1715814620256424, 0.16572736203670502, 0.6626911759376526]
[u'B', u'H', u'S']  [0.14354154467582703, 0.12913239002227783, 0.7273260951042175]
[u'B', u'H', u'S']  [0.13540026545524597, 0.11874155700206757, 0.7458581924438477]
[u'B', u'H', u'S']  [0.12234120815992355, 0.1028086468577385, 0.7748501300811768]
[u'B', u'H', u'S']  [0.1083003357052803, 0.08666113764047623, 0.805038571357727]
[u'B', u'H', u'S']  [0.09345623850822449, 0.07067163288593292, 0.8358721137046814]
[u'B', u'H', u'S']  [0.09345623850822449, 0.07067163288593292, 0.8358721137046814]
[u'B', u'H', u'S']  [0.09345623850822449, 0.07067163288593292, 0.8358721137046814]
[u'B', u'H', u'S']  [0.09345623850822449, 0.07067163288593292, 0.8358721137046814]
[u'B', u'H', u'S']  [0.09345623850822449, 0.07067163288593292, 0.8358721137046814]
