Date, Open, High, Low, Close, Volume, Mva10, Mva200, Rsi2, Rsi14, PercentB, Bandwidth,Action
7/1/2017 0:00,2230.51,2249.63,2225,2230.82,6184.27,2230.82,2230.82,50,50,0,0,H
7/1/2017 2:00,2231.03,2236.79,2208.95,2210,6188.33,2220.41,2220.41,0,0,0,0,B
7/1/2017 4:00,2210,2231.92,2210,2231.92,5963.33,2224.25,2224.25,51.29,51.29,0,0,H
7/1/2017 6:00,2231.92,2255.08,2212.33,2255.08,14192.48,2231.96,2231.96,100,68.41,0,0,S
7/1/2017 8:00,2255.08,2267.45,2225.42,2241.12,11373.5,2233.79,2233.79,62.39,56.45,0,0,H
7/1/2017 10:00,2232.97,2258.47,2230.97,2236.97,4133.3,2234.32,2234.32,0,53.66,0,0,H
7/1/2017 12:00,2236.97,2253,2218.11,2218.11,10532.84,2232,2232,0,43.82,0,0,H
7/1/2017 14:00,2217,2236.61,2210,2221,4888.54,2230.63,2230.63,13.29,45.36,0,0,H
7/1/2017 16:00,2221,2235.2,2200,2203.18,12760.02,2227.58,2227.58,13.95,38.82,0,0,H
7/1/2017 18:00,2203.18,2220,2185,2212,10403.94,2226.02,2226.02,33.11,42.89,0,0,H
7/1/2017 20:00,2212,2214,2170.85,2196.09,17015.99,2222.55,2223.3,35.67,38.29,0,0,H
7/1/2017 22:00,2196.09,2205.71,2171.09,2199.37,9572.72,2221.48,2221.3,17.09,39.63,0,0,H
7/2/2017 0:00,2199.37,2199.37,2135.01,2166.62,11218.07,2214.95,2217.1,9.1,32.59,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,2162.76,7859.9,2205.72,2213.22,0,31.92,0,0,B
7/2/2017 4:00,2162.76,2203.21,2162.76,2187.79,5040.15,2200.39,2211.52,86.64,39.91,0,0,B
7/2/2017 6:00,2197.24,2202.98,2181,2184.98,9816.19,2195.19,2209.86,89.91,43.59,0,0,H
7/2/2017 8:00,2191,2227.23,2186.16,2194.51,5722.54,2192.83,2208.96,77.23,39.77,0,0,H
7/2/2017 10:00,2205.5,2220.25,2184.25,2189.3,9600.17,2189.66,2207.87,64.65,30.05,0,0,H
7/2/2017 12:00,2189.3,2207.55,2184.25,2191.54,5682.71,2188.5,2207.01,30.07,33.81,0,0,H
7/2/2017 14:00,2191.54,2208,2186.31,2200,19816.08,2187.3,2206.66,100,38.26,74.76,4.42,H
7/2/2017 16:00,2214.9,2236.97,2201.82,2236.97,8861.45,2191.38,2208.1,100,55.37,53.07,4.49,H
7/2/2017 18:00,2236.97,2238,2220,2223.6,8001.45,2193.81,2208.81,73.44,50.7,74.25,4.53,H
7/2/2017 20:00,2223.6,2249.86,2220,2239.43,11060.14,2201.09,2210.14,54.21,59.85,96.21,4.61,H
7/2/2017 22:00,2240.56,2254.24,2231.09,2248.89,4408.71,2209.7,2211.75,100,59.99,83.56,4.51,S
7/3/2017 0:00,2248.89,2248.89,2242.12,2247.08,431.63,2215.63,2213.17,83.94,64.94,78.57,4.59,S
7/3/2017 2:00,2247.08,2247.08,2244,2244.01,207.29,2221.53,2214.35,0,63.1,59.44,4.67,S
7/3/2017 4:00,2244.01,2245,2214.74,2224.73,5282.2,2224.56,2214.74,0,68.51,61.84,4.71,H
7/3/2017 6:00,2224.73,2248.99,2216.61,2225,7032.18,2228.12,2215.1,1.38,70.29,44.53,4.73,H
7/3/2017 8:00,2232.56,2232.56,2204,2214.9,6090.57,2230.46,2215.1,2.6,59.79,52.42,4.72,B
7/3/2017 10:00,2214.9,2246.79,2208.38,2220,11463.48,2232.46,2215.26,33.55,62.44,36.84,4.74,B
7/3/2017 12:00,2220,2275,2220,2255.19,16345.52,2234.28,2216.55,100,68.24,37.91,5.03,H
7/3/2017 14:00,2255.19,2280.84,2251.05,2267.17,13344.91,2238.64,2218.13,100,72.49,8.86,5.44,H
7/3/2017 16:00,2267.17,2285.96,2250,2255,4189.12,2240.2,2219.25,49.61,67.33,0.01,5.21,H
7/3/2017 18:00,2255,2265.19,2240.1,2256.22,3466.27,2240.93,2220.33,9.11,65.99,14.67,4.77,S
7/3/2017 20:00,2256.22,2275,2247.31,2275,2292.7,2243.72,2221.9,100,62.06,8.95,4.88,S
7/3/2017 22:00,2275,2285.8,2244.84,2244.84,9236.66,2243.8,2222.53,38.37,56.09,12.25,4.53,B
7/4/2017 0:00,2244.84,2275.43,2242.57,2242.58,353.97,2245.59,2223.07,0,50.98,1.68,4.24,B
7/4/2017 2:00,2242.58,2299.91,2242.58,2299.91,1725.29,2253.08,2225.1,96.21,62.22,1.5,4.52,H
7/4/2017 4:00,2299.91,2317.5,2299.91,2314.23,4494.27,2263.01,2227.38,100,65.18,7.58,4.9,H
7/4/2017 6:00,2314.23,2320,2302.68,2320,14848.12,2273.01,2229.7,100,66.97,36.77,5.29,S
7/4/2017 8:00,2320,2320,2303,2318.96,11967.85,2279.39,2231.87,84.73,72.91,24.81,5.85,S
7/4/2017 10:00,2318.96,2318.96,2303.37,2310.11,9158.5,2283.68,2233.74,0,69.86,34.05,6.02,H
7/4/2017 12:00,2310.11,2330.5,2307.94,2330.5,20912.13,2291.24,2235.99,69.73,75.74,38.62,6.53,H
