Date,Open,High,Low,Close,Volume,Mva10,Mva200,Rsi2,Rsi14,PercentB,Bandwidth,Action
7/1/2017 0:00,2230.51,2249.63,2225.00,0.022308,0.052711,0.022308,0.022308,0.5,0.5,0,0,H
7/1/2017 2:00,2231.03,2236.79,2208.95,0.0221,0.052746,0.022204,0.022204,0,0,0,0,H
7/1/2017 4:00,2210.00,2231.92,2210.00,0.022319,0.050828,0.022242,0.022242,0.51,0.51,0,0,H
7/1/2017 6:00,2231.92,2255.08,2212.33,0.022551,0.120969,0.022320,0.022320,1,0.68,0,0,H
7/1/2017 8:00,2255.08,2267.45,2225.42,0.022411,0.096942,0.022338,0.022338,0.62,0.56,0,0,H
7/1/2017 10:00,2232.97,2258.47,2230.97,0.022370,0.03523,0.022343,0.022343,0,0.54,0,0,H
7/1/2017 12:00,2236.97,2253.00,2218.11,0.022181,0.089776,0.02232,0.02232,0,0.44,0,0,H
7/1/2017 14:00,2217.00,2236.61,2210.00,0.02221,0.041667,0.022306,0.022306,0.13,0.45,0,0,H
7/1/2017 16:00,2221.00,2235.20,2200.00,0.022032,0.10876,0.022276,0.022276,0.14,0.39,0,0,H
7/1/2017 18:00,2203.18,2220.00,2185.00,0.02212,0.088678,0.022260,0.022260,0.33,0.43,0,0,H
7/1/2017 20:00,2212.00,2214.00,2170.85,0.021961,0.145035,0.022226,0.022233,0.36,0.38,0,0,H
7/1/2017 22:00,2196.09,2205.71,2171.09,0.021994,0.081593,0.022215,0.022213,0.17,0.4,0,0,H
7/2/2017 0:00,2199.37,2199.37,2135.01,0.021666,0.095617,0.022150,0.022171,0.09,0.33,0,0,H
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 2:00,2166.62,2166.62,2133.66,0.021628,0.066994,0.022057,0.022132,0,0.32,0,0,B
7/2/2017 4:00,2162.76,2203.21,2162.76,0.021878,0.04296,0.022004,0.022115,0.87,0.4,0,0,H
7/2/2017 6:00,2197.24,2202.98,2181.00,0.021850,0.083668,0.021952,0.022099,0.9,0.44,0,0,H
7/2/2017 8:00,2191.00,2227.23,2186.16,0.021945,0.048776,0.021928,0.022090,0.77,0.4,0,0,H
7/2/2017 10:00,2205.50,2220.25,2184.25,0.021893,0.081827,0.021897,0.022079,0.65,0.3,0,0,H
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
7/2/2017 12:00,2189.30,2207.55,2184.25,0.021915,0.048436,0.021885,0.022070,0.3,0.34,0,0,B
